Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
AAPL,APPLE INC,Information Technology,Equity,"352,828,025.92",11.02,"352,828,025.92","2,040,884.00",172.88,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"316,829,392.92",9.9,"316,829,392.92","969,876.00",326.67,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"168,587,968.24",5.27,"168,587,968.24","1,346,872.00",125.17,United States,NASDAQ,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"133,444,517.97",4.17,"133,444,517.97","322,431.00",413.87,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"125,523,325.25",3.92,"125,523,325.25","406,685.00",308.65,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"105,020,844.00",3.28,"105,020,844.00","774,490.00",135.6,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"103,547,732.40",3.23,"103,547,732.40","757,260.00",136.74,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"98,624,142.05",3.08,"98,624,142.05","115,535.00",853.63,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"87,834,240.68",2.74,"87,834,240.68","414,332.00",211.99,United States,NASDAQ,USD
ADBE,ADOBE INC,Information Technology,Equity,"69,028,659.84",2.16,"69,028,659.84","127,604.00",540.96,United States,NASDAQ,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"68,650,130.01",2.14,"68,650,130.01","124,157.00",552.93,United States,NASDAQ,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"61,661,440.00",1.93,"61,661,440.00","385,384.00",160,United States,NASDAQ,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"60,384,872.92",1.89,"60,384,872.92","1,140,844.00",52.93,United States,NASDAQ,USD
NFLX,NETFLIX INC,Communication,Equity,"49,751,918.72",1.55,"49,751,918.72","124,082.00",400.96,United States,NASDAQ,USD
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"49,384,063.48",1.54,"49,384,063.48","1,152,218.00",42.86,United States,NASDAQ,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"46,050,902.82",1.44,"46,050,902.82","452,322.00",101.81,United States,NASDAQ,USD
TMUS,T MOBILE US INC,Communication,Equity,"45,118,752.42",1.41,"45,118,752.42","329,358.00",136.99,United States,NASDAQ,USD
AMGN,AMGEN INC,Health Care,Equity,"41,751,518.69",1.3,"41,751,518.69","149,749.00",278.81,United States,NASDAQ,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"40,942,442.88",1.28,"40,942,442.88","1,172,464.00",34.92,United States,NASDAQ,USD
INTU,INTUIT INC,Information Technology,Equity,"39,735,931.24",1.24,"39,735,931.24","78,404.00",506.81,United States,NASDAQ,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"37,572,119.52",1.17,"37,572,119.52","254,192.00",147.81,United States,NASDAQ,USD
QCOM,QUALCOMM INC,Information Technology,Equity,"33,939,596.79",1.06,"33,939,596.79","312,433.00",108.63,United States,NASDAQ,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"33,690,162.60",1.05,"33,690,162.60","185,805.00",181.32,United States,NASDAQ,USD
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"31,436,789.16",0.98,"31,436,789.16","234,393.00",134.12,United States,NASDAQ,USD
